Method,Quantity,min,Q1,median,Q3,max,mean,sd
Full MCMC,mu1,-0.278,-0.163,-0.117,-0.082,0.063,-0.124,0.055
FAST MCMC,mu1,-0.569,-0.174,-0.049,0.052,0.314,-0.069,0.155
Full MCMC,mu2,-0.821,-0.679,-0.644,-0.619,-0.529,-0.651,0.043
FAST MCMC,mu2,-0.192,0.136,0.262,0.382,0.686,0.247,0.177
Full MCMC,sigma11,49.126,50.632,50.735,50.858,52.187,50.727,0.263
FAST MCMC,sigma11,47.94,49.948,50.635,51.403,53.575,50.663,1.032
Full MCMC,sigma12,-1.455,-0.043,0.196,0.564,1.882,0.268,0.493
FAST MCMC,sigma12,-1.249,0.084,1.428,3.932,5.535,1.927,1.954
Full MCMC,sigma21,-1.455,-0.043,0.196,0.564,1.882,0.268,0.493
FAST MCMC,sigma21,-1.249,0.084,1.428,3.932,5.535,1.927,1.954
Full MCMC,sigma22,49.898,51.815,52.206,52.611,54.35,52.171,0.761
FAST MCMC,sigma22,50.123,52.05,52.934,53.992,56.854,53.033,1.317
Full MCMC,O11,0.917,0.923,0.924,0.925,0.932,0.924,0.002
FAST MCMC,O11,0.485,0.657,0.747,0.86,0.968,0.753,0.111
Full MCMC,O12,-0.4,-0.385,-0.383,-0.38,-0.362,-0.383,0.004
FAST MCMC,O21,-0.874,-0.754,-0.665,-0.511,-0.252,-0.634,0.142
Full MCMC,O21,0.362,0.38,0.383,0.385,0.4,0.383,0.004
FAST MCMC,O22,0.485,0.657,0.747,0.86,0.968,0.753,0.111
Full MCMC,O22,0.917,0.923,0.924,0.925,0.932,0.924,0.002
FAST MCMC,O22,0.485,0.657,0.747,0.86,0.968,0.753,0.111
Full MCMC,cp,0.04,0.067,0.073,0.078,0.122,0.073,0.008
FAST MCMC,cp,0.047,0.072,0.078,0.084,0.115,0.078,0.009
