Method,Quantity,min,Q1,median,Q3,max,mean,sd
shape=alpha,mu1,-0.668,-0.295,-0.162,-0.085,0.527,-0.163,0.219
rate=1/alpha,mu1,-0.235,0.028,0.18,0.396,0.805,0.223,0.235
shape=alpha,mu2,-1.191,-0.881,-0.388,-0.109,0.306,-0.473,0.389
rate=1/alpha,mu2,-0.75,-0.444,-0.277,-0.156,0.135,-0.295,0.191
shape=alpha,sigma11,45.105,48.824,50.639,51.861,54.114,50.217,2.111
rate=1/alpha,sigma11,50.728,53.943,54.479,56.566,59.069,54.994,1.874
shape=alpha,sigma12,-2.358,0.588,3.754,4.307,6.018,2.717,2.081
rate=1/alpha,sigma12,-2.301,-0.171,0.357,1.075,2.496,0.41,0.866
shape=alpha,sigma21,-2.358,0.588,3.754,4.307,6.018,2.717,2.081
rate=1/alpha,sigma21,-2.301,-0.171,0.357,1.075,2.496,0.41,0.866
shape=alpha,sigma22,50.083,51.873,54.492,56.733,58.794,54.315,2.501
rate=1/alpha,sigma22,45.93,47.783,48.411,49.361,50.774,48.446,1.077
shape=alpha,O11,0.087,0.364,0.417,0.477,0.586,0.41,0.086
rate=1/alpha,O11,-0.412,-0.288,-0.268,-0.192,-0.026,-0.24,0.067
shape=alpha,O12,0.81,0.879,0.909,0.931,0.996,0.907,0.036
rate=1/alpha,O21,-1,-0.981,-0.964,-0.958,-0.911,-0.968,0.015
shape=alpha,O21,-0.996,-0.931,-0.909,-0.879,-0.81,-0.907,0.036
rate=1/alpha,O22,-0.412,-0.288,-0.268,-0.192,-0.026,-0.24,0.067
shape=alpha,O22,0.087,0.364,0.417,0.477,0.586,0.41,0.086
rate=1/alpha,O22,-0.412,-0.288,-0.268,-0.192,-0.026,-0.24,0.067
shape=alpha,cp,0.048,0.071,0.077,0.084,0.12,0.078,0.01
rate=1/alpha,cp,0.047,0.072,0.077,0.083,0.119,0.078,0.009
