Method,Quantity,min,Q1,median,Q3,max,mean,sd
shape=alpha,mu1,-0.207,-0.074,-0.04,-0.007,0.152,-0.04,0.051
rate=1/alpha,mu1,-0.215,-0.071,-0.04,-0.008,0.201,-0.039,0.05
shape=alpha,mu2,-0.249,-0.104,-0.07,-0.038,0.107,-0.071,0.048
rate=1/alpha,mu2,-0.234,-0.103,-0.07,-0.04,0.111,-0.071,0.049
shape=alpha,sigma11,4.463,4.898,5.023,5.14,5.726,5.024,0.179
rate=1/alpha,sigma11,4.349,4.893,5.013,5.147,5.611,5.023,0.182
shape=alpha,sigma12,-0.278,0.056,0.143,0.238,0.623,0.144,0.132
rate=1/alpha,sigma12,-0.373,0.071,0.161,0.238,0.556,0.155,0.13
shape=alpha,sigma21,-0.278,0.056,0.143,0.238,0.623,0.144,0.132
rate=1/alpha,sigma21,-0.373,0.071,0.161,0.238,0.556,0.155,0.13
shape=alpha,sigma22,4.342,4.794,4.91,5.03,5.492,4.917,0.17
rate=1/alpha,sigma22,4.37,4.81,4.914,5.036,5.678,4.922,0.17
shape=alpha,O11,-1,-0.894,-0.068,0.894,1,-0.007,0.822
rate=1/alpha,O11,-1,-0.907,0.013,0.911,1,0.004,0.837
shape=alpha,O12,-1,-0.448,-0.006,0.448,1,-0.002,0.569
rate=1/alpha,O21,-1,-0.407,0.001,0.432,1,0.01,0.547
shape=alpha,O21,-1,-0.448,0.006,0.448,1,0.002,0.569
rate=1/alpha,O22,-1,-0.907,0.013,0.911,1,0.004,0.837
shape=alpha,O22,-1,-0.894,-0.068,0.894,1,-0.007,0.822
rate=1/alpha,O22,-1,-0.907,0.013,0.911,1,0.004,0.837
shape=alpha,cp,4.744,4916410784481602e58,36545663966416865e135,7299106316083839e212,14399848967592267e290,3025964446492513e288,Inf
rate=1/alpha,cp,5.622,6064333341317031e61,11210580444468783e138,17972703185039143e213,15709355457873896e290,1373237671744205e288,Inf
