Method,Quantity,min,Q1,median,Q3,max,mean,sd
FAST 1,mu1,-0.48,-0.098,0.009,0.096,0.681,0.009,0.173
FAST 2,mu1,-0.949,-0.584,-0.322,-0.183,0.323,-0.359,0.258
FAST 1,mu2,-0.491,-0.058,0.101,0.322,0.682,0.129,0.237
FAST 2,mu2,-0.967,-0.355,-0.166,-0.027,0.354,-0.182,0.217
FAST 1,sigma11,47.765,49.332,50.913,52.246,54.219,50.906,1.656
FAST 2,sigma11,48.526,50.203,51.24,52.363,55.562,51.359,1.429
FAST 1,sigma12,-3.005,-1.308,0.119,1.18,3.95,0.061,1.562
FAST 2,sigma12,-2.269,0.087,0.692,1.402,3.505,0.756,0.997
FAST 1,sigma21,-3.005,-1.308,0.119,1.18,3.95,0.061,1.562
FAST 2,sigma21,-2.269,0.087,0.692,1.402,3.505,0.756,0.997
FAST 1,sigma22,48.218,50.966,51.633,53.888,55.536,52.123,1.666
FAST 2,sigma22,51.248,53.603,55.04,56.913,61.234,55.375,2.148
FAST 1,O11,-0.978,-0.912,-0.332,0.622,0.923,-0.167,0.695
FAST 2,O11,-1,0.008,0.168,0.316,0.688,0.063,0.397
FAST 1,O12,-1,-0.832,-0.724,-0.409,-0.211,-0.66,0.232
FAST 2,O21,-1,-0.986,-0.949,-0.799,1,-0.593,0.698
FAST 1,O21,0.211,0.409,0.724,0.832,1,0.66,0.232
FAST 2,O22,-1,0.008,0.168,0.316,0.688,0.063,0.397
FAST 1,O22,-0.978,-0.912,-0.332,0.622,0.923,-0.167,0.695
FAST 2,O22,-1,0.008,0.168,0.316,0.688,0.063,0.397
FAST 1,cp,0.043,0.072,0.079,0.085,0.113,0.079,0.009
FAST 2,cp,0.048,0.071,0.077,0.083,0.111,0.077,0.009
