Method,Quantity,min,Q1,median,Q3,max,mean,sd
FAST 1,mu1,-0.241,-0.076,-0.04,-0.006,0.123,-0.042,0.052
FAST 2,mu1,-0.207,-0.074,-0.037,-0.006,0.157,-0.039,0.051
FAST 1,mu2,-0.283,-0.109,-0.074,-0.038,0.102,-0.074,0.05
FAST 2,mu2,-0.266,-0.107,-0.073,-0.035,0.119,-0.071,0.051
FAST 1,sigma11,4.404,4.891,5.026,5.136,5.614,5.019,0.177
FAST 2,sigma11,4.356,4.899,5.02,5.137,5.699,5.022,0.177
FAST 1,sigma12,-0.355,0.06,0.151,0.238,0.609,0.146,0.135
FAST 2,sigma12,-0.349,0.067,0.157,0.247,0.527,0.156,0.132
FAST 1,sigma21,-0.355,0.06,0.151,0.238,0.609,0.146,0.135
FAST 2,sigma21,-0.349,0.067,0.157,0.247,0.527,0.156,0.132
FAST 1,sigma22,4.372,4.801,4.91,5.025,5.548,4.917,0.172
FAST 2,sigma22,4.313,4.79,4.925,5.048,5.692,4.923,0.184
FAST 1,O11,-1,-0.913,-0.157,0.887,1,-0.037,0.829
FAST 2,O11,-1,-0.903,-0.058,0.909,1,-0.008,0.834
FAST 1,O12,-1,-0.449,-0,0.42,1,-0.009,0.558
FAST 2,O21,-1,-0.465,-0.034,0.398,1,-0.027,0.551
FAST 1,O21,-1,-0.42,0,0.449,1,0.009,0.558
FAST 2,O22,-1,-0.903,-0.058,0.909,1,-0.008,0.834
FAST 1,O22,-1,-0.913,-0.157,0.887,1,-0.037,0.829
FAST 2,O22,-1,-0.903,-0.058,0.909,1,-0.008,0.834
FAST 1,cp,6.981,53607902682004095e60,1208702067624395e142,26959202389819995e210,9949070820828373e290,26956751559393457e287,Inf
FAST 2,cp,14.186,2316094281520902e59,45624529086405526e134,15460017763775754e213,1481635685968172e291,2802031505029003e288,Inf
