Method,Quantity,min,Q1,median,Q3,max,mean,sd
MCMC 1,mu1,-0.28,-0.238,-0.23,-0.219,-0.115,-0.226,0.018
MCMC 2,mu1,0.299,0.373,0.384,0.449,0.529,0.407,0.047
MCMC 1,mu2,-0.068,-0.041,-0.026,0.005,0.112,-0.014,0.034
MCMC 2,mu2,-0.702,-0.587,-0.54,-0.512,-0.385,-0.54,0.055
MCMC 1,sigma11,49.797,51.152,51.214,51.268,52.103,51.205,0.123
MCMC 2,sigma11,48.012,50.4,50.718,50.935,52.193,50.628,0.599
MCMC 1,sigma12,0.844,2.087,2.339,2.484,2.941,2.257,0.302
MCMC 2,sigma12,0.56,1.846,2.165,2.386,3.584,2.186,0.513
MCMC 1,sigma21,0.844,2.087,2.339,2.484,2.941,2.257,0.302
MCMC 2,sigma21,0.56,1.846,2.165,2.386,3.584,2.186,0.513
MCMC 1,sigma22,51.315,52.154,52.301,52.502,53.075,52.324,0.279
MCMC 2,sigma22,49.16,50.061,51.194,51.286,52.03,50.803,0.631
MCMC 1,O11,-0.958,-0.954,-0.954,-0.953,-0.95,-0.953,0.001
MCMC 2,O11,-0.068,-0.057,-0.055,-0.053,-0.034,-0.055,0.004
MCMC 1,O12,-0.312,-0.303,-0.301,-0.3,-0.286,-0.302,0.003
MCMC 2,O21,-0.999,-0.999,-0.998,-0.998,-0.998,-0.998,0
MCMC 1,O21,0.286,0.3,0.301,0.303,0.312,0.302,0.003
MCMC 2,O22,-0.068,-0.057,-0.055,-0.053,-0.034,-0.055,0.004
MCMC 1,O22,-0.958,-0.954,-0.954,-0.953,-0.95,-0.953,0.001
MCMC 2,O22,-0.068,-0.057,-0.055,-0.053,-0.034,-0.055,0.004
MCMC 1,cp,0.042,0.07,0.075,0.081,0.122,0.075,0.008
MCMC 2,cp,0.043,0.071,0.077,0.083,0.123,0.077,0.009
