Method,Quantity,min,Q1,median,Q3,max,mean,sd
MCMC 1,mu1,-0.299,-0.075,-0.04,-0.006,0.193,-0.041,0.051
MCMC 2,mu1,-0.311,-0.075,-0.041,-0.007,0.218,-0.041,0.051
MCMC 1,mu2,-0.306,-0.105,-0.071,-0.038,0.193,-0.071,0.05
MCMC 2,mu2,-0.29,-0.105,-0.071,-0.038,0.151,-0.071,0.05
MCMC 1,sigma11,4.3,4.906,5.025,5.145,5.819,5.027,0.176
MCMC 2,sigma11,4.283,4.906,5.023,5.144,5.872,5.027,0.176
MCMC 1,sigma12,-0.453,0.074,0.164,0.249,0.736,0.16,0.13
MCMC 2,sigma12,-0.519,0.074,0.164,0.25,0.747,0.16,0.131
MCMC 1,sigma21,-0.453,0.074,0.164,0.249,0.736,0.16,0.13
MCMC 2,sigma21,-0.519,0.074,0.164,0.25,0.747,0.16,0.131
MCMC 1,sigma22,4.23,4.796,4.911,5.03,5.705,4.915,0.173
MCMC 2,sigma22,4.257,4.796,4.911,5.03,5.756,4.915,0.174
MCMC 1,O11,-1,-0.926,-0.017,0.925,1,-0.003,0.858
MCMC 2,O11,-1,-0.927,-0.01,0.926,1,-0.001,0.858
MCMC 1,O12,-1,-0.381,-0.003,0.377,1,-0.002,0.514
MCMC 2,O21,-1,-0.379,-0.001,0.374,1,-0.002,0.514
MCMC 1,O21,-1,-0.377,0.003,0.381,1,0.002,0.514
MCMC 2,O22,-1,-0.927,-0.01,0.926,1,-0.001,0.858
MCMC 1,O22,-1,-0.926,-0.017,0.925,1,-0.003,0.858
MCMC 2,O22,-1,-0.927,-0.01,0.926,1,-0.001,0.858
MCMC 1,cp,3.212,5483604220894832e60,32528800644952854e136,1270914757212828e214,17890635680254004e290,24160377542200664e287,Inf
MCMC 2,cp,2.337,2608771071309218e60,9857629196383127e136,27907754360464994e213,17930659428447085e290,2523664862632072e288,Inf
